text,label
Черновик документа. данные документ отчёт отчёт документ.,0
ИНН организации: 7701234567. служебная служебная.,2
Локальный текст без ценности. информация документ служебная документ данные.,0
Общий шаблон письма. документ документ.,0
Пример технической спецификации. данные отчёт документ отчёт.,0
Локальный текст без ценности. отчёт служебная.,0
График отпусков и больничных. отчёт отчёт служебная.,1
Черновик документа. отчёт служебная.,0
Черновик документа. служебная данные данные отчёт данные.,0
Реквизиты и конфиденциальные данные клиентов. данные данные информация отчёт.,2
Должностные инструкции. информация информация информация.,1
Внутреннее письмо по кадровым вопросам. информация информация.,1
Реквизиты и конфиденциальные данные клиентов. служебная данные служебная.,2
Локальный текст без ценности. документ документ служебная документ.,0
Должностные инструкции. данные данные информация служебная.,1
Реквизиты и конфиденциальные данные клиентов. служебная документ данные информация.,2
Общий шаблон письма. отчёт отчёт документ.,0
График отпусков и больничных. данные документ отчёт отчёт данные.,1
Контакты партнеров и поставщиков. служебная информация информация документ.,1
Пример технической спецификации. служебная документ отчёт.,0
График отпусков и больничных. информация информация данные.,1
ИНН организации: 7701234567. информация документ служебная информация служебная.,2
Общий шаблон письма. информация отчёт информация отчёт.,0
Список сотрудников отдела. документ отчёт документ.,1
Черновик документа. отчёт служебная отчёт.,0
Паспорт гражданина РФ: серия 1111 номер 222222. отчёт отчёт служебная данные данные.,2
Общий шаблон письма. данные информация.,0
Пример технической спецификации. данные информация служебная служебная документ.,0
Локальный текст без ценности. информация отчёт данные данные служебная.,0
Локальный текст без ценности. отчёт информация.,0
Презентация компании без данных. служебная отчёт.,0
Банковская карта: 4000 1234 5678 9010. данные отчёт.,2
Черновик документа. служебная данные служебная отчёт документ.,0
Общий шаблон письма. служебная служебная данные информация.,0
Внутреннее письмо по кадровым вопросам. документ служебная.,1
Пример технической спецификации. документ отчёт.,0
Презентация компании без данных. документ информация документ отчёт информация.,0
Черновик документа. отчёт информация.,0
Черновик документа. служебная информация информация.,0
Список сотрудников отдела. документ документ отчёт.,1
Презентация компании без данных. служебная данные.,0
Реквизиты и конфиденциальные данные клиентов. документ данные данные.,2
Черновик документа. информация документ документ.,0
Общий шаблон письма. документ информация отчёт данные отчёт.,0
Сведения о зарплатах сотрудников. отчёт документ документ.,2
Внутреннее письмо по кадровым вопросам. служебная отчёт служебная служебная.,1
Банковская карта: 4000 1234 5678 9010. документ данные служебная.,2
Банковская карта: 4000 1234 5678 9010. данные документ информация.,2
Локальный текст без ценности. отчёт информация служебная.,0
Контакты партнеров и поставщиков. отчёт данные информация данные документ.,1
Презентация компании без данных. служебная данные служебная отчёт документ.,0
ИНН организации: 7701234567. информация информация служебная служебная.,2
Список сотрудников отдела. служебная документ отчёт данные документ.,1
Паспорт гражданина РФ: серия 1111 номер 222222. информация информация.,2
График отпусков и больничных. данные отчёт служебная данные данные.,1
Локальный текст без ценности. данные данные информация.,0
Паспорт гражданина РФ: серия 1111 номер 222222. отчёт информация служебная.,2
Локальный текст без ценности. информация служебная информация.,0
Сведения о зарплатах сотрудников. документ данные документ.,2
Пример технической спецификации. данные данные служебная отчёт информация.,0
Презентация компании без данных. данные данные.,0
Пример технической спецификации. служебная документ.,0
Паспорт гражданина РФ: серия 1111 номер 222222. отчёт документ данные данные документ.,2
График отпусков и больничных. документ информация документ.,1
Общий шаблон письма. информация отчёт документ служебная.,0
Общий шаблон письма. информация данные информация служебная отчёт.,0
Презентация компании без данных. служебная данные отчёт.,0
Контакты партнеров и поставщиков. служебная отчёт служебная служебная.,1
ИНН организации: 7701234567. информация служебная.,2
Черновик документа. информация документ информация данные.,0
Локальный текст без ценности. данные информация данные служебная.,0
Черновик документа. отчёт информация отчёт отчёт данные.,0
Локальный текст без ценности. данные информация данные.,0
Локальный текст без ценности. служебная документ служебная.,0
Пример технической спецификации. данные отчёт данные отчёт.,0
Пример технической спецификации. информация информация отчёт отчёт.,0
Черновик документа. информация данные.,0
Пример технической спецификации. данные информация.,0
Банковская карта: 4000 1234 5678 9010. служебная данные отчёт.,2
График отпусков и больничных. информация отчёт документ информация.,1
Презентация компании без данных. документ служебная.,0
Должностные инструкции. информация документ информация.,1
Презентация компании без данных. отчёт информация документ информация.,0
Паспорт гражданина РФ: серия 1111 номер 222222. отчёт информация информация отчёт информация.,2
Пример технической спецификации. информация отчёт.,0
Черновик документа. информация информация данные служебная.,0
Должностные инструкции. данные отчёт данные документ.,1
Локальный текст без ценности. документ данные информация служебная служебная.,0
Контакты партнеров и поставщиков. служебная служебная служебная информация данные.,1
Реквизиты и конфиденциальные данные клиентов. данные данные.,2
Должностные инструкции. отчёт документ отчёт информация документ.,1
Черновик документа. отчёт отчёт информация.,0
Локальный текст без ценности. служебная служебная данные.,0
Банковская карта: 4000 1234 5678 9010. служебная информация.,2
Должностные инструкции. документ служебная.,1
Презентация компании без данных. отчёт информация документ.,0
Локальный текст без ценности. документ документ данные.,0
Пример технической спецификации. служебная служебная отчёт информация.,0
Локальный текст без ценности. служебная данные служебная документ информация.,0
Список сотрудников отдела. данные информация служебная служебная.,1
Презентация компании без данных. служебная отчёт данные.,0
График отпусков и больничных. данные информация данные.,1
Локальный текст без ценности. служебная информация.,0
Локальный текст без ценности. служебная данные отчёт отчёт.,0
Презентация компании без данных. данные данные отчёт.,0
Локальный текст без ценности. информация отчёт отчёт документ документ.,0
Локальный текст без ценности. служебная информация отчёт отчёт служебная.,0
Локальный текст без ценности. документ документ.,0
Черновик документа. отчёт отчёт.,0
Черновик документа. информация данные данные служебная служебная.,0
ИНН организации: 7701234567. документ отчёт информация.,2
Банковская карта: 4000 1234 5678 9010. данные документ.,2
Должностные инструкции. документ служебная документ отчёт служебная.,1
Сведения о зарплатах сотрудников. служебная служебная.,2
Контакты партнеров и поставщиков. служебная документ.,1
Банковская карта: 4000 1234 5678 9010. отчёт информация служебная данные отчёт.,2
Общий шаблон письма. служебная отчёт данные.,0
Банковская карта: 4000 1234 5678 9010. информация документ документ данные служебная.,2
Черновик документа. информация служебная документ данные.,0
Локальный текст без ценности. данные отчёт информация данные данные.,0
Локальный текст без ценности. служебная данные служебная.,0
Реквизиты и конфиденциальные данные клиентов. отчёт отчёт.,2
Презентация компании без данных. документ служебная документ служебная.,0
Контакты партнеров и поставщиков. данные информация отчёт.,1
Локальный текст без ценности. документ документ документ информация служебная.,0
Список сотрудников отдела. служебная данные.,1
Реквизиты и конфиденциальные данные клиентов. служебная документ отчёт.,2
Внутреннее письмо по кадровым вопросам. информация данные информация.,1
Контакты партнеров и поставщиков. данные данные документ.,1
Список сотрудников отдела. служебная информация.,1
Пример технической спецификации. отчёт информация отчёт данные данные.,0
Паспорт гражданина РФ: серия 1111 номер 222222. документ отчёт служебная документ.,2
Локальный текст без ценности. отчёт служебная документ.,0
ИНН организации: 7701234567. служебная информация служебная документ данные.,2
Пример технической спецификации. информация данные данные служебная информация.,0
Общий шаблон письма. данные служебная данные.,0
Презентация компании без данных. служебная информация.,0
Банковская карта: 4000 1234 5678 9010. служебная информация.,2
Общий шаблон письма. информация отчёт.,0
Общий шаблон письма. служебная документ служебная информация документ.,0
Локальный текст без ценности. данные служебная.,0
Презентация компании без данных. данные отчёт документ отчёт документ.,0
Черновик документа. служебная документ отчёт.,0
Сведения о зарплатах сотрудников. служебная информация.,2
Презентация компании без данных. информация служебная информация документ.,0
Общий шаблон письма. служебная информация отчёт служебная информация.,0
Черновик документа. документ информация документ.,0
Внутреннее письмо по кадровым вопросам. служебная отчёт.,1
Внутреннее письмо по кадровым вопросам. отчёт служебная информация отчёт служебная.,1
Банковская карта: 4000 1234 5678 9010. документ данные отчёт.,2
Внутреннее письмо по кадровым вопросам. информация данные.,1
Список сотрудников отдела. информация данные.,1
Черновик документа. отчёт отчёт отчёт служебная служебная.,0
Общий шаблон письма. служебная документ данные.,0
Локальный текст без ценности. данные данные информация отчёт документ.,0
Пример технической спецификации. данные данные служебная информация информация.,0
Черновик документа. служебная документ документ.,0
Общий шаблон письма. отчёт служебная документ.,0
Пример технической спецификации. данные данные документ служебная данные.,0
Локальный текст без ценности. данные данные.,0
Презентация компании без данных. отчёт отчёт документ.,0
Реквизиты и конфиденциальные данные клиентов. служебная данные.,2
Пример технической спецификации. отчёт информация информация документ.,0
Общий шаблон письма. информация документ служебная данные служебная.,0
Презентация компании без данных. данные отчёт служебная информация отчёт.,0
Сведения о зарплатах сотрудников. данные документ данные документ.,2
График отпусков и больничных. данные отчёт.,1
Локальный текст без ценности. служебная служебная отчёт документ.,0
Общий шаблон письма. данные информация отчёт.,0
Список сотрудников отдела. документ служебная данные отчёт информация.,1
Локальный текст без ценности. данные данные.,0
Пример технической спецификации. документ отчёт информация.,0
Черновик документа. служебная отчёт.,0
Презентация компании без данных. документ информация документ информация.,0
График отпусков и больничных. отчёт служебная данные.,1
Контакты партнеров и поставщиков. служебная документ.,1
Банковская карта: 4000 1234 5678 9010. документ документ отчёт служебная документ.,2
Презентация компании без данных. документ отчёт данные данные информация.,0
Должностные инструкции. отчёт служебная данные.,1
Пример технической спецификации. служебная отчёт документ данные служебная.,0
Внутреннее письмо по кадровым вопросам. данные служебная данные данные.,1
Черновик документа. служебная служебная.,0
Сведения о зарплатах сотрудников. документ служебная данные документ данные.,2
Презентация компании без данных. документ данные.,0
Внутреннее письмо по кадровым вопросам. отчёт данные документ информация данные.,1
Внутреннее письмо по кадровым вопросам. служебная документ документ.,1
Пример технической спецификации. документ документ документ информация.,0
Локальный текст без ценности. документ документ информация данные.,0
Презентация компании без данных. документ отчёт данные.,0
Общий шаблон письма. информация документ данные документ документ.,0
Локальный текст без ценности. документ данные служебная данные.,0
Черновик документа. данные документ служебная документ отчёт.,0
Список сотрудников отдела. данные служебная.,1
Пример технической спецификации. отчёт отчёт документ отчёт информация.,0
Паспорт гражданина РФ: серия 1111 номер 222222. документ данные.,2
Общий шаблон письма. отчёт данные данные служебная информация.,0
Внутреннее письмо по кадровым вопросам. данные отчёт информация.,1
График отпусков и больничных. документ документ отчёт документ.,1
График отпусков и больничных. служебная отчёт.,1
Список сотрудников отдела. документ служебная служебная служебная.,1
Черновик документа. данные информация информация данные документ.,0
ИНН организации: 7701234567. данные отчёт информация служебная.,2
Презентация компании без данных. отчёт информация.,0
Общий шаблон письма. документ документ служебная документ.,0
Презентация компании без данных. отчёт документ служебная документ информация.,0
